City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,holualoa,19.6228,-155.9522,27.1,71,75,6.69,US,1693514770
84,igugunu,-4.5667,34.6333,20.74,58,75,5.19,TZ,1693514959
85,labuan,5.2767,115.2417,26.2,88,40,0.0,MY,1693514718
86,constitucion,-35.3333,-72.4167,12.55,66,100,5.79,CL,1693514757
87,tolanaro,-25.0319,46.9987,20.04,77,40,7.2,MG,1693514961
88,lewistown,40.5992,-77.5714,25.09,70,0,5.66,US,1693514961
89,longyearbyen,78.2186,15.6401,5.91,87,75,4.63,SJ,1693514961
90,cidreira,-30.1811,-50.2056,15.55,86,69,5.63,BR,1693514962
91,tazacorte,28.629,-17.9293,23.54,73,20,5.14,ES,1693514962
92,kathu,7.9178,98.3332,29.83,72,100,7.21,TH,1693514793
93,kyshtovka,56.555,76.6271,10.09,90,14,3.09,RU,1693514963
94,fort bragg,35.139,-79.006,29.25,52,20,5.14,US,1693514963
95,hawera,-39.5917,174.2833,8.71,80,3,2.56,NZ,1693514964
96,shilovo,54.3204,40.874,14.31,67,6,3.53,RU,1693514964
97,nahiyat al fuhud,30.9697,46.7228,34.82,23,0,4.04,IQ,1693514965
98,hithadhoo,-0.6,73.0833,26.74,77,99,3.6,MV,1693514965
99,elizabeth city,36.2946,-76.2511,23.88,86,75,10.29,US,1693514966
100,punta arenas,-53.15,-70.9167,5.62,93,100,4.97,CL,1693514768
101,timaru,-44.4,171.25,7.26,69,12,1.34,NZ,1693514967
102,puerto ayora,-0.7393,-90.3518,30.98,88,42,5.81,EC,1693514968
103,bredasdorp,-34.5322,20.0403,8.1,74,62,4.17,ZA,1693514968
104,prince george,53.9166,-122.753,20.7,43,20,2.57,CA,1693514904
105,opuwo,-18.0607,13.84,21.85,26,50,1.57,NA,1693514969
106,mount gambier,-37.8333,140.7667,9.88,81,100,1.62,AU,1693514969
107,georgetown,5.4112,100.3354,26.96,97,20,1.03,MY,1693514902
108,yeosu,34.7546,127.6599,24.32,87,100,2.0,KR,1693514970
109,kalevala,65.2,31.1667,16.49,97,95,4.51,RU,1693514970
110,chinde,26.8418,88.0763,19.04,81,33,1.75,NP,1693514971
111,yanam,16.7333,82.2167,26.24,89,71,1.33,IN,1693514971
112,kerikeri,-35.2268,173.9474,13.28,94,91,3.31,NZ,1693514972
113,sitka,57.0531,-135.33,15.94,72,100,0.0,US,1693514972
114,illizi,26.4833,8.4667,37.89,21,4,1.43,DZ,1693514973
115,challapata,-18.9,-66.7667,16.96,14,18,3.79,BO,1693514973
116,lubao,14.9167,120.55,28.04,93,100,2.87,PH,1693514974
117,flying fish cove,-10.4217,105.6791,23.82,88,100,5.66,CX,1693514974
118,al bawiti,28.3492,28.8659,27.9,55,0,7.49,EG,1693514974
119,minas de marcona,-15.2119,-75.1103,15.56,71,26,8.01,PE,1693514975
120,kaisiadorys,54.8667,24.45,14.97,95,26,3.1,LT,1693514975
121,ancud,-41.8697,-73.8203,9.45,95,100,12.19,CL,1693514975
122,nishinoomote,30.7333,131.0,27.62,84,90,9.02,JP,1693514976
123,nar'yan-mar,67.6713,53.087,9.74,82,33,2.05,RU,1693514976
124,papatowai,-46.5619,169.4708,9.06,73,100,3.16,NZ,1693514977
125,sandnessjoen,66.0217,12.6316,13.29,88,20,3.09,NO,1693514977
126,touros,-5.1989,-35.4608,25.46,81,0,6.69,BR,1693514978
127,nadym,65.5333,72.5167,8.87,56,100,4.6,RU,1693514978
128,morehead city,34.7229,-76.726,23.03,89,100,9.26,US,1693514978
129,manta,-0.95,-80.7333,29.88,78,20,10.73,EC,1693514979
130,chipinge,-20.1883,32.6236,14.38,61,0,1.73,ZW,1693514980
131,demidov,55.2706,31.515,15.62,65,100,2.67,RU,1693514980
132,ta`u,-14.2336,-169.5144,25.89,81,80,10.64,AS,1693514980
133,keflavik,64.0049,-22.5624,11.95,82,75,5.66,IS,1693514947
134,fenoarivo be,-18.4333,46.5667,15.52,71,93,1.84,MG,1693514981
135,tshikapa,-6.4167,20.8,26.49,29,6,0.33,CD,1693514982
136,upata,8.0086,-62.3989,31.77,50,93,1.48,VE,1693514982
137,trinidad,-14.8333,-64.9,35.99,44,20,4.12,BO,1693514983
138,labuan bajo,-8.4964,119.8877,21.11,70,29,2.41,ID,1693514984
139,tocopilla,-22.092,-70.1979,18.33,72,82,1.89,CL,1693514984
140,la punta,-33.1837,-66.3127,18.68,27,19,7.17,AR,1693514985
141,qaqortoq,60.7167,-46.0333,5.09,86,100,2.25,GL,1693514985
